artist,title,release_format,number_of_tracks,price,rating,votes,have,want,limited_edition,media_condition,sleeve_condition,release_page,genre,year,label_name,label_code
Tom Misch,Beat Tape 2,LP,12,27.97,4.54,141.0,1899,1125,0,M,M,https://discogs.com/release/8348582-Tom-Misch-Beat-Tape-2?ev=item-vc,hip hop,2016,Beyond The Groove ‎,BTG004VL
Lous & The Yakuza,IOTA,LP,12,32.89,5.0,4.0,78,19,0,M,M,https://discogs.com/release/25670629-Lous-The-Yakuza-IOTA?ev=item-vc,hip hop,2022,Sony Music ‎,"0196587630010, Columbia ‎– 0196587630010"
Grandmaster Flash & The Furious Five,The Message,LP,13,40.86,4.63,8.0,190,68,0,M,M,https://discogs.com/release/25828582-Grandmaster-Flash-The-Furious-Five-The-Message?ev=item-vc,hip hop,2023,Sugar Hill Records ‎,BMGCAT782DLP
$hit & $hine*,New Confusion,LP,9,37.85,4.44,9.0,115,17,1,M,M,https://discogs.com/release/25160365-hit-hine-New-Confusion?ev=item-vc,hip hop,2022,Rocket Recordings ‎,LAUNCH272
Theo Parrish,DJ-Kicks Detroit Forward,LP,15,43.82,4.75,52.0,632,175,0,M,M,https://discogs.com/release/25003444-Theo-Parrish-DJ-Kicks-Detroit-Forward?ev=item-vc,hip hop,2022,!K7 Records ‎,K7414LP
Lefto Early Bird*,The Beauty Is Inside,LP,15,52.95,4.8,5.0,28,33,0,M,M,https://discogs.com/release/24583676-Lefto-Early-Bird-The-Beauty-Is-Inside?ev=item-vc,hip hop,2022,BBE ‎,BBE648CLP
The Go! Team,Get Up Sequences Part Two,LP,12,25.74,4.5,8.0,102,7,1,M,M,https://discogs.com/release/26014420-The-Go-Team-Get-Up-Sequences-Part-Two?ev=item-vc,hip hop,2023,Memphis Industries ‎,MI0762LPX
The Go! Team,Get Up Sequences Part Two,LP,12,24.92,4.8,5.0,46,4,0,M,M,https://discogs.com/release/26082331-The-Go-Team-Get-Up-Sequences-Part-Two?ev=item-vc,hip hop,2023,Memphis Industries ‎,MI0762LP
Shygirl,Nymph,LP,12,37.94,4.4,40.0,875,148,0,M,M,https://discogs.com/release/24401867-Shygirl-Nymph?ev=item-vc,hip hop,2022,Because Music ‎,BEC5610855
Jay Dee aka,B.B.E. - Big Booty Express,"12""",4,29.94,4.4,15.0,91,80,0,M,M,https://discogs.com/release/24583349-Jay-Dee-aka-J-Dilla-BBE-Big-Booty-Express?ev=item-vc,hip hop,2022,BBE ‎,BBEBG001EP
